Date,AAPL,MSFT,NVDA,JPM
2025-06-04,43604000,14162700,167120800,5915700.0
2025-06-05,55126100,20131700,231397900,8173800.0
2025-06-06,46607700,15285600,153986200,7738100.0
2025-06-09,72862600,16469900,185114500,8285000.0
2025-06-10,54672600,15375900,155881900,7538100.0
2025-06-11,60989900,16399200,167694000,7434100.0
2025-06-12,43904600,18950600,162365000,6618000.0
2025-06-13,51447300,16814500,180820600,7098300.0
2025-06-16,43020700,15626100,183133700,8566000.0
2025-06-17,38856200,15414100,139108000,6739300.0
2025-06-18,45394700,17526500,161494100,9586400.0
2025-06-20,96813500,37576200,242956200,13969700.0
2025-06-23,55814300,24864000,154308900,8094600.0
2025-06-24,54064000,22305600,187566100,9267900.0
2025-06-25,39525700,17495100,269146500,6826900.0
2025-06-26,50799100,21578900,198145700,8942100.0
2025-06-27,73188600,34539200,263234500,17868600.0
2025-06-30,91912800,28369000,194580300,12689200.0
2025-07-01,78788900,19945400,213143600,9338300.0
2025-07-02,67941800,16319600,171224100,8158700.0
2025-07-03,34955800,13984800,143716100,6541600.0
2025-07-07,50229000,13981600,140139000,8825700.0
2025-07-08,42848900,11846600,138133000,15440900.0
2025-07-09,48749400,18659500,183656400,11273800.0
2025-07-10,44443600,16492100,167704100,8410900.0
2025-07-11,39765800,16459500,193633300,7384700.0
2025-07-14,38840100,12058800,136975800,9079900.0
2025-07-15,42296300,14927200,230627400,12526100.0
2025-07-16,47490500,15154400,158831500,9979800.0
2025-07-17,48068100,17503100,160841100,8509500.0
2025-07-18,48974600,21209700,146456400,12217000.0
2025-07-21,51377400,14066800,123126100,7898100.0
2025-07-22,46404100,13868600,193114300,6717500.0
2025-07-23,46989300,16396600,154082200,7083500.0
2025-07-24,46022600,16107000,128984600,7001200.0
2025-07-25,40268800,19125700,122316800,5918500.0
2025-07-28,37858000,14308000,140023500,5840400.0
2025-07-29,51411700,16469200,154077500,7635700.0
2025-07-30,45512500,26380400,174312200,8061700.0
2025-07-31,80698400,51617300,221685400,14749700.0
2025-08-01,104434500,28977600,204529000,12007100.0
2025-08-04,75109300,25349000,148174600,6649500.0
2025-08-05,44155100,19171600,156407600,7182300.0
2025-08-06,108483100,21355700,137192300,6330200.0
2025-08-07,90224800,16079100,151878400,8057100.0
2025-08-08,113854000,15531000,123396700,6634100.0
2025-08-11,61806100,20194400,138323200,5510100.0
2025-08-12,55626200,18667000,145485700,8570900.0
2025-08-13,69878500,19619200,179871700,8420400.0
2025-08-14,51916300,20269100,129554000,6322400.0
2025-08-15,56038700,25213300,156602200,7340500.0
2025-08-18,37476200,23760600,132008000,5386900.0
2025-08-19,39402600,21481000,185229200,6031500.0
2025-08-20,42263900,27723000,215142700,7374200.0
2025-08-21,30621200,18443300,140040900,6624000.0
2025-08-22,42477800,24324200,172789400,8552800.0
2025-08-25,30983100,21638600,163012800,5856300.0
2025-08-26,54575100,30835700,168688200,6714700.0
2025-08-27,31259500,17277900,235518900,6056500.0
2025-08-28,38074700,18015600,281787800,6410500.0
2025-08-29,39418400,20961600,243257900,6796400.0
2025-09-02,44075600,18128000,231164900,7221900.0
2025-09-03,66427800,16345100,164424900,6316900.0
2025-09-04,47549400,15509500,141670100,6605800.0
2025-09-05,54870400,31994800,224441400,9837700.0
2025-09-08,48999500,16771000,163769100,8188500.0
2025-09-09,66313900,14410500,157548400,7848200.0
2025-09-10,83440800,21611800,226852000,7787300.0
2025-09-11,50208600,18881600,151159300,7942500.0
2025-09-12,55824200,23624900,124911000,6846700.0
2025-09-15,42699500,17143800,147061600,7122000.0
2025-09-16,63421100,19711900,140737800,10525600.0
2025-09-17,46508000,15816600,211843800,8657800.0
2025-09-18,44249600,18913700,191763300,8050700.0
2025-09-19,163741300,52474100,237182100,23568600.0
2025-09-22,105517400,20009300,269637000,7520200.0
2025-09-23,60275200,19799600,192559600,8584400.0
2025-09-24,42303700,13533700,143564100,7310500.0
2025-09-25,55202100,15786500,191586700,7083200.0
2025-09-26,46076300,16213100,148573700,7258100.0
2025-09-29,40127700,17617800,193063500,6462400.0
2025-09-30,37704300,19728200,236981000,11823300.0
2025-10-01,48713900,22632300,173844900,9235200.0
2025-10-02,42630200,21222900,136805800,7600000.0
2025-10-03,49155600,15112300,137596900,6029900.0
2025-10-06,44664100,21388600,157678100,7214500.0
2025-10-07,31955800,14615200,140088000,8454200.0
2025-10-08,36496900,13363400,130168900,6489900.0
2025-10-09,38322000,18343600,182997200,7060300.0
2025-10-10,61999100,24133800,268774400,8597400.0
2025-10-13,38142900,14284200,153482800,10788700.0
2025-10-14,35478000,14684300,205641400,16178800.0
2025-10-15,33893600,14694700,214450500,11354800.0
2025-10-16,39777000,15559600,179723300,10549400.0
2025-10-17,49147000,19867800,173135200,10153500.0
2025-10-20,90483000,14665600,128544700,6894900.0
2025-10-21,46695900,15586200,124240200,7372700.0
2025-10-22,45015300,18962700,162249600,8054100.0
2025-10-23,32754900,14023500,111363700,5438800.0
2025-10-24,38253700,15532400,131296700,7228300.0
2025-10-27,44888200,18734700,153452700,5642200.0
2025-10-28,41534800,29986700,297986200,6336000.0
2025-10-29,51086700,36023000,308829600,7520300.0
2025-10-30,69886500,41023100,178864400,7514600.0
2025-10-31,86167100,34006400,179802200,7721300.0
2025-11-03,50194600,22374700,180267300,7770000.0
2025-11-04,49274800,20958700,188919300,7085200.0
2025-11-05,43683100,23024300,171350300,6865200.0
2025-11-06,51204000,27406500,223029800,7206100.0
2025-11-07,48227400,24019800,264942300,7302300.0
2025-11-10,41312400,26101500,198897100,5794100.0
2025-11-11,46208300,17980000,176483300,5030200.0
2025-11-12,48398000,26574900,154935300,10578300.0
2025-11-13,49602800,25273100,207423100,8973300.0
2025-11-14,47431300,28505700,186591900,10327000.0
2025-11-17,45018300,19092800,173628900,8344000.0
2025-11-18,45677300,33815100,213598900,8077300.0
2025-11-19,40424500,23245300,247246400,5546600.0
2025-11-20,45823600,26802500,343504800,7501600.0
2025-11-21,59030800,31769200,346926200,11766800.0
2025-11-24,65585800,34421000,256618300,10940200.0
2025-11-25,46914200,28019800,320600300,8877200.0
2025-11-26,33431400,25709100,183852000,7910900.0
2025-11-28,20135600,14386700,121332800,4322400.0
2025-12-01,46587700,23964000,188131000,7727300.0
2025-12-02,53669500,19562700,182632200,7249000.0
2025-12-03,43538700,34615100,165138000,8535300.0
2025-12-04,43989100,22318200,167364900,9627800.0
2025-12-05,47265800,22608700,143971100,6518900.0
2025-12-08,38211800,21965900,204378100,7417200.0
2025-12-09,32193300,14696100,144719700,18049200.0
2025-12-10,33038300,35756200,162785400,18874100.0
2025-12-11,33248000,24669200,182136600,9721900.0
2025-12-12,39532900,21248100,204274900,8982900.0
2025-12-15,50409100,23727700,164775600,10864100.0
2025-12-16,37648600,20705600,148588100,8331300.0
2025-12-17,50138700,24527200,222775500,8718700.0
2025-12-18,51630700,28573500,176096000,11444900.0
2025-12-19,144632000,70836100,324925900,24494400.0
2025-12-22,36571800,16963000,129064400,8354600.0
2025-12-23,29642000,14683600,174873600,6668300.0
2025-12-24,17910600,5855900,65528500,4289300.0
2025-12-26,21521800,8842200,139740300,4158300.0
2025-12-29,23715200,10893400,120006100,8635300.0
2025-12-30,22139600,13944500,97687300,7904300.0
2025-12-31,27293600,15601600,120100500,5048500.0
2026-01-02,37838100,25571600,148240500,8054000.0
2026-01-05,45647200,25250300,183529700,10752600.0
2026-01-06,52352100,23037700,176862600,7660800.0
2026-01-07,48309800,25564200,153543200,9815200.0
2026-01-08,50419300,18162600,172457000,11737100.0
2026-01-09,39997000,18491000,131327500,6738100.0
2026-01-12,45263800,23519900,137968500,12805100.0
2026-01-13,45730800,28545800,160128900,19371200.0
2026-01-14,40019400,28184300,159586100,25951500.0
2026-01-15,39388600,23225800,206188600,14751400.0
2026-01-16,72142800,34246700,187967200,14652500.0
2026-01-20,80267500,26130000,223345300,12900600.0
2026-01-21,54641700,37980500,200381000,10270100.0
2026-01-22,39708300,25349400,139636600,10535800.0
2026-01-23,41689000,38000200,142748100,11107900.0
2026-01-26,55969200,29291200,124799600,11752700.0
2026-01-27,49648300,29213900,143711600,11527400.0
2026-01-28,41288000,36875400,148552700,9556700.0
2026-01-29,67253000,128855300,171764400,11580000.0
2026-01-30,92443400,58566800,179489500,11953200.0
2026-02-02,73913400,42219900,165794100,9839400.0
2026-02-03,64394700,61424100,204019600,12688000.0
2026-02-04,90545700,45012400,207014100,9848800.0
2026-02-05,52977400,66289200,206312900,9388000.0
2026-02-06,50453400,53515300,231346200,17797400.0
2026-02-09,44623400,45480500,196387400,11477500.0
2026-02-10,34376900,44857900,136764800,9902200.0
2026-02-11,51931300,42491000,144192700,8703500.0
2026-02-12,81077200,40802400,189932500,13443400.0
2026-02-13,56290700,34091600,161888000,9114500.0
2026-02-17,58469100,32078800,162276900,8896800.0
2026-02-18,34203300,23223400,164749100,7209600.0
2026-02-19,30845300,28234000,126554500,6737700.0
2026-02-20,42070500,34015200,178422300,7792700.0
2026-02-23,37308200,43238300,171584800,12955400.0
2026-02-24,47014600,33884700,175123600,13554100.0
2026-02-25,33714300,43625500,250637100,8095500.0
2026-02-26,32345100,34405900,360807900,7007800.0
2026-02-27,72366500,51367200,311636500,18620800.0
2026-03-02,41827900,35474900,209095300,8508900.0
2026-03-03,38568900,38199200,178099400,10278200.0
2026-03-04,39803100,35808000,177731200,8055700.0
2026-03-05,49658600,39001300,198779700,12732500.0
2026-03-06,41120000,31123900,189021900,13496500.0
2026-03-09,38218500,30131900,177213600,12241100.0
2026-03-10,30590800,31706400,179118500,8344900.0
2026-03-11,26218900,25512100,145280400,10205000.0
