Date,AAPL,MSFT,NVDA,JPM
2024-09-05,220.53518676757812,402.03900146484375,107.03358459472656,208.854736328125
2024-09-06,218.9881134033203,395.4530334472656,102.6607894897461,203.89320373535156
2024-09-09,219.07736206054688,399.4105224609375,106.29480743408203,208.0677947998047
2024-09-10,218.2840118408203,407.7586364746094,107.92210388183594,197.2714080810547
2024-09-11,220.8128662109375,416.4612121582031,116.71763610839844,198.87408447265625
2024-09-12,220.92196655273438,420.3595886230469,118.95413970947266,198.26951599121094
2024-09-13,220.65419006347656,423.8937683105469,118.9141845703125,196.08145141601562
2024-09-16,214.5254669189453,424.6321105957031,116.59780883789062,199.4786834716797
2024-09-17,214.9915313720703,428.38287353515625,115.40966796875,200.81263732910156
2024-09-18,218.8592071533203,424.1103210449219,113.19313049316406,199.16197204589844
2024-09-19,226.97132873535156,431.8678283691406,117.68611145019531,201.99302673339844
2024-09-20,226.30690002441406,428.5009765625,115.81903076171875,202.57843017578125
2024-09-23,224.59124755859375,426.7684020996094,116.0786361694336,202.91433715820312
2024-09-24,225.48377990722656,422.4958801269531,120.68143463134766,203.0582733154297
2024-09-25,224.4920654296875,425.3901062011719,123.31730651855469,201.7147216796875
2024-09-26,225.63255310058594,424.6025695800781,123.84647369384766,201.32127380371094
2024-09-27,225.90028381347656,421.36376953125,121.21060180664062,202.01223754882812
2024-09-30,231.06707763671875,423.60821533203125,121.25054931640625,202.3577117919922
2024-10-01,224.3334197998047,414.1477355957031,116.81745910644531,198.69171142578125
2024-10-02,224.89869689941406,410.6430969238281,118.6645736694336,198.93165588378906
2024-10-03,223.79788208007812,410.062255859375,122.65834045410156,196.95474243164062
2024-10-04,224.9185028076172,409.5897216796875,124.72510528564453,203.9453582763672
2024-10-07,219.8509063720703,403.171142578125,127.52073669433594,203.66534423828125
2024-10-08,223.89706420898438,408.26068115234375,132.6826629638672,203.49154663085938
2024-10-09,227.63577270507812,410.9679870605469,132.4430389404297,206.06959533691406
2024-10-10,227.13990783691406,409.3731384277344,134.5996856689453,205.50958251953125
2024-10-11,225.66229248046875,409.8456726074219,134.5897216796875,214.63409423828125
2024-10-14,229.38119506835938,412.6217956542969,137.85459899902344,213.8520050048828
2024-10-15,231.91001892089844,412.2279968261719,131.39471435546875,214.73065185546875
2024-10-16,229.85719299316406,409.64874267578125,135.5082550048828,215.93760681152344
2024-10-17,230.22412109375,410.23944091796875,136.7163848876953,216.6907501220703
2024-10-18,233.05047607421875,411.6570739746094,137.78469848632812,217.60801696777344
2024-10-21,234.51821899414062,412.2674560546875,143.48580932617188,215.3196563720703
2024-10-22,233.90333557128906,420.8616638183594,143.36598205566406,216.4010772705078
2024-10-23,228.84567260742188,417.99688720703125,139.34226989746094,215.71554565429688
2024-10-24,228.65724182128906,418.1248779296875,140.1909637451172,217.23147583007812
2024-10-25,229.49026489257812,421.49169921875,141.31918334960938,214.65342712402344
2024-10-28,231.4637451171875,419.9559631347656,140.30076599121094,217.73355102539062
2024-10-29,231.7315216064453,425.23260498046875,141.02964782714844,215.2230987548828
2024-10-30,228.19113159179688,425.8035888671875,139.12261962890625,216.6811065673828
2024-10-31,224.035888671875,400.03070068359375,132.55287170410156,214.27684020996094
2024-11-01,221.060791015625,403.9881896972656,135.18875122070312,215.26171875
2024-11-04,220.16824340820312,402.1078796386719,135.83775329589844,212.21055603027344
2024-11-05,221.5963134765625,405.0612487792969,139.69174194335938,213.86166381835938
2024-11-06,220.87237548828125,413.6456298828125,145.3828125,238.55099487304688
2024-11-07,225.59283447265625,418.8139953613281,148.64776611328125,228.2388458251953
2024-11-08,225.3248291015625,415.968994140625,147.39967346191406,228.81817626953125
2024-11-11,222.61448669433594,411.5093994140625,145.0333709716797,231.04859924316406
2024-11-12,222.61448669433594,416.4513244628906,148.0586395263672,231.30931091308594
2024-11-13,223.49807739257812,418.58758544921875,146.0417938232422,232.8542022705078
2024-11-14,226.5757293701172,420.2513122558594,146.53102111816406,233.5397491455078
2024-11-15,223.37893676757812,408.5461730957031,141.75848388671875,236.86126708984375
2024-11-18,226.37718200683594,409.2944030761719,139.93133544921875,236.59091186523438
2024-11-19,226.6352996826172,411.2928466796875,146.7806396484375,234.7177276611328
2024-11-20,227.35011291503906,409.0285949707031,145.6623992919922,232.48728942871094
2024-11-21,226.87356567382812,407.2628479003906,146.44119262695312,236.33021545410156
2024-11-22,228.21383666992188,411.3368225097656,141.728515625,239.9896697998047
2024-11-25,231.1922149658203,413.1025085449219,135.8077850341797,241.6697540283203
2024-11-26,233.366455078125,422.17755126953125,136.70640563964844,241.36077880859375
2024-11-27,233.23736572265625,417.24542236328125,135.12884521484375,241.18698120117188
2024-11-29,235.62010192871094,417.7090148925781,138.03431701660156,241.119384765625
2024-12-02,237.86383056640625,425.126953125,138.41371154785156,237.76889038085938
2024-12-03,240.90174865722656,425.34393310546875,140.0411834716797,236.38815307617188
2024-12-04,241.25918579101562,431.4795227050781,144.91358947753906,235.0170440673828
2024-12-05,241.28895568847656,436.6088562011719,144.8436737060547,237.02540588378906
2024-12-06,241.09039306640625,437.5459899902344,142.2275848388672,238.84066772460938
2024-12-09,244.9722442626953,439.962646484375,138.6029815673828,235.4129180908203
2024-12-10,245.98486328125,437.3092041015625,134.8685760498047,234.4956512451172
2024-12-11,244.714111328125,442.892333984375,139.1022491455078,235.142578125
2024-12-12,246.17352294921875,443.45458984375,137.13519287109375,233.21145629882812
2024-12-13,246.34230041503906,441.1956787109375,134.04978942871094,231.67620849609375
2024-12-16,249.23130798339844,445.4570007324219,131.80313110351562,231.32862854003906
2024-12-17,251.65374755859375,448.2880554199219,130.19554138183594,230.15065002441406
2024-12-18,246.2628936767578,431.44989013671875,128.71775817871094,222.43585205078125
2024-12-19,247.99032592773438,431.09478759765625,130.48509216308594,224.93661499023438
2024-12-20,252.656494140625,430.6706237792969,134.49911499023438,229.4168243408203
2024-12-23,253.4308624267578,429.3389892578125,139.46170043945312,230.17959594726562
2024-12-24,256.33978271484375,433.363525390625,140.01089477539062,233.96461486816406
2024-12-26,257.15380859375,432.16009521484375,139.7213134765625,234.76602172851562
2024-12-27,253.74853515625,424.68304443359375,136.80567932128906,232.86386108398438
